"slug","triplet_id","metaphor_span","selected","annotator_id"
"brady-deflategate","brady-deflategate_p0003_the","detrimental to the integrity of the NFL","","agent"
"brady-deflategate","brady-deflategate_p0003_the","the integrity of the NFL","","agent"
"obama-immigration-speech","obama-immigration-speech_p0001_washington","expansive executive actions","","agent"
"obama-immigration-speech","obama-immigration-speech_p0001_washington","refocus enforcement efforts on ""felons, not families.""","","agent"
"foodstamps-doctors","foodstamps-doctors_p0011_seligman","running low on food was to blame","","agent"
"foodstamps-doctors","foodstamps-doctors_p0011_seligman","the most logical culprit","","agent"
"schoollunch-fail","schoollunch-fail_p0009_elementary","woefully short of their target","","agent"
"schoollunch-fail","schoollunch-fail_p0009_elementary","target of 9 to 10 ounces of meat per day","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","ease California's colossal thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","California's colossal thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","colossal thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","insulate millions from","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","the parched whims of Mother Nature","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","parched whims","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","whims of Mother Nature","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","a large component","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","component","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","the school food environment","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","environment","","agent"
"ceres-water","ceres-water_p0008_but","the chemical fingerprint of full water molecules","","agent"
"halloween-biz","halloween-biz_p0018_its","sending it out to the world","","agent"
"halloween-biz","halloween-biz_p0018_its","out to the world","","agent"
"eggs-organic","eggs-organic_p0005_proposition","scrambling the conventional egg industry's business","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","was fueled by an oil-and-gas boom","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","was fueled by an oil-and-gas boom","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","oil-and-gas boom","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","curbing civil litigation awards","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","hoping to lure top job creators to Texas","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","lure top job creators to Texas","","agent"
"military-recruiting","military-recruiting_p0003_so","shed weight","","agent"
"black-hole","black-hole_p0002_writing","powerful jets","","agent"
"black-hole","black-hole_p0002_writing","shooting out","","agent"
"black-hole","black-hole_p0002_writing","black hole candidate 4U 1630-47","","agent"
"black-hole","black-hole_p0002_writing","a small black hole","","agent"
"black-hole","black-hole_p0002_writing","a scientific puzzle","","agent"
"confederate-flag","confederate-flag_p0006_he","a position","","agent"
"weapons-georgiaschools","weapons-georgiaschools_p0012_officials","a turning point for school safety","","agent"
"weapons-georgiaschools","weapons-georgiaschools_p0012_officials","turning point","","agent"
"ncharleston-mayor","ncharleston-mayor_p0020_the","the shooting was symptomatic of bigger and deeper problems in local policing","","agent"
"ncharleston-mayor","ncharleston-mayor_p0020_the","bigger and deeper problems","","agent"
"concussion-academicproblems","concussion-academicproblems_p0008_even","had taken a toll on academic skills","","agent"
