slug,triplet_id,original_sentence
bison-grandcanyon,bison-grandcanyon_p0001_washington,WASHINGTON — Federal officials are trying to figure out how to control a herd of about 350 bison that is roaming the North Rim of the Grand Canyon and damaging vegetation and water sources there.
obesity-graduation,obesity-graduation_p0008_the,The drop-out rate was also higher for obese students. Nearly 19 percent of the people in this group started high school but didn't finish. That compares with 12 percent of people in the comparison group.
brady-deflategate,brady-deflategate_p0003_the,"The NFL delivered that message in a resounding way Monday, suspending the New England Patriots star without pay for the first four games of next season for ""conduct detrimental to the integrity of the NFL."""
obama-immigration-speech,obama-immigration-speech_p0001_washington,"WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families."""
foodstamps-doctors,foodstamps-doctors_p0011_seligman,Seligman couldn't prove that running low on food was to blame. But she called it the most logical culprit and said the cost of treating hypoglycemia even without a hospitalization could provide months of food stamp benefits.
pga-moneyball,pga-moneyball_p0017_i,"""I looked at my stats a few weeks ago to see where my game was sort of wrong and I was about 180th or something on putts from (10) to 15 feet,"" Tim Clark said Tuesday at Firestone Country Club. ""I knew I was struggling, but it was interesting to suddenly see it in writing. I wouldn't say I'm much of a stat guy, but I knew at one point I was 140th in putting for the year."""
schoollunch-fail,schoollunch-fail_p0010_with,"With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average."
saudi-men,saudi-men_p0029_it,"""It never was a women's campaign only. From the initial start, we've had men's support and assistance,"" she said."
homeless-students,homeless-students_p0022_i,"""I don't want pity,"" he said. ""It's embarrassing to be an adult and be homeless."""
schoollunch-fail,schoollunch-fail_p0009_elementary,"— Elementary school lunches included 8 to 10 ounces of meat or a meat alternative, but home lunches had only 1.87 ounces, of which 1.49 ounces were eaten, on average. Middle school kids packed even less (1.63 ounces, on average), though they ate a little more (1.59 ounces). Still, they were woefully short of their target of 9 to 10 ounces of meat per day."
saudi-men,saudi-men_p0030_a,A male campaigner who asked not to be identified for fear of losing his job at a multinational company in Saudi Arabia said he is afraid he may be detained before his upcoming wedding. He said he closed his Twitter account at the request of his worried fiancé.
greatlakes-chemicals,greatlakes-chemicals_p0015_its,"It's alarming that the chemicals are found that far from shore in the new study, said Olga Lyandres, research manager for the Alliance for the Great Lakes, a nonprofit lake advocacy group."
class-sizes,class-sizes_p0011_reducing,— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.
osprey-makeover,osprey-makeover_p0020_still,"Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting."
sewage-drinkingwater,sewage-drinkingwater_p0001_los,"LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say."
schoollunch-fail,schoollunch-fail_p0020_it,"""It is apparent that a large component of the school food environment — foods brought from home — has not been thoroughly investigated and could be a contributing factor to child overweight status,"" they wrote."
ceres-water,ceres-water_p0008_but,"But using the European Space Agency's powerful Herschel Space Observatory, Kuppers and his team were able to look for the chemical fingerprint of full water molecules, which gave them a much stronger signal. They spotted clear signs of water coming from two separate dark spots, on roughly opposite sides of the little world."
halloween-biz,halloween-biz_p0018_its,"""It's more of a social holiday now, with 'social' meaning that people not only are enjoying Halloween with one another but sending it out to the world."""
eggs-organic,eggs-organic_p0005_proposition,"Proposition 2, a new California regulation that mandates that all eggs sold in the state come from hens with enough room to extend their limbs and turn around freely, has raised consumer awareness (while also scrambling the conventional egg industry's business). But consumers remain confused about egg labels. According to a survey commissioned by Vital Farms, fewer than half of consumers are familiar with the term ""pasture-raised,"" and the majority thought that ""cage-free"" and ""free-range"" mean the birds have been raised outdoors."
homeless-students,homeless-students_p0016_these,"These days Butts, who wants to be a financial analyst, keeps pretty much to himself. The less other students know about his situation the better. He has a hotel room but can't afford it for long. With Stidum's help from KSU, he is looking for a cheaper off-campus apartment until he has saved up enough from his job and student loan to move on campus in the fall."
business-apprenticeships,business-apprenticeships_p0014_rucker-shivers,"Rucker-Shivers knew he liked hands-on work, and he took part in one of Olympic's most high-profile projects: building Habitat for Humanity houses. He took classes in drafting, carpentry, wood shop and principles of engineering."
perry-presannounce,perry-presannounce_p0014_texas,"Texas' white-hot job growth was fueled by an oil-and-gas boom, but Perry said his keeping taxes low, restricting regulation and curbing civil litigation awards helped. Perry also distributed millions in state funds, hoping to lure top job creators to Texas — sometimes with few new jobs to show for it."
military-recruiting,military-recruiting_p0003_so,"So Hoard tells them long before graduation day: Don't ever get caught with a joint. Work out, shed weight. And be extra careful about getting tattooed."
black-hole,black-hole_p0002_writing,"Writing in the journal Nature, a team of scientists said it found traces of nickel and iron in the powerful jets shooting out of black hole candidate 4U 1630-47, a small black hole just a few times the mass of our sun. It may help solve a scientific puzzle that has lingered for decades."
confederate-flag,confederate-flag_p0006_he,He declined to articulate a position on the flag Sunday but said he would participate in discussions about the flag and race relations after the church shooting Wednesday.
weapons-georgiaschools,weapons-georgiaschools_p0012_officials,Officials called the mass shooting a turning point for school safety.
ncharleston-mayor,ncharleston-mayor_p0020_the,The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.
concussion-academicproblems,concussion-academicproblems_p0008_even,"Even among children considered to be recovering well, academic difficulties were common. In this group, 38 percent reported that headaches, concentration problems and fatigue had interfered with their learning, and 44 percent said their symptoms had taken a toll on academic skills such as note-taking and homework completion."
satellite-movies,satellite-movies_p0015_the,"The digital delivery of movies has long been the goal of studios and theaters, most of which have already installed digital projectors."
confederate-flag,confederate-flag_p0013_former,"Former Sen. Rick Santorum, R-Pa., said Sunday on ABC's ""This Week"" that ""I don't think the federal government or federal candidates should be making decisions on everything, opining on everything. This is a decision that needs to be made here in South Carolina."""
wildfire-deaths,wildfire-deaths_p0005_the,"The blaze was sparked Friday by lightning, officials said, and remained out of control."
obama-armenia,obama-armenia_p0022_obama,"Obama, as a senator and a candidate for president, supported using the term to describe the killings and criticized the George W. Bush administration for not doing so."
gitmo-101,gitmo-101_p0004_a,"A: Then-Defense Secretary Donald H. Rumsfeld announced on Dec. 27, 2001, that some prisoners captured in Afghanistan would be held within the bounds of the 45-square-mile U.S. Naval Station at Guantanamo Bay, Cuba, which the United States has occupied since 1903 under a lease that gives the U.S. rights ""in perpetuity."" The first 20 detainees arrived Jan. 11, 2002."
winter-salt,winter-salt_p0001_sedalia,"SEDALIA, Mo. — The dirty rocks of salt are packed into a storage shed on a snowy lot, where a nearby bulldozer, its engine on, stands at the ready. Pettis County Commissioner Brent Hampy trudges across the frozen ground to assess the stockpiles for this county, which just received 8 inches of snow in a nasty storm that closed schools for two days."
obama-senegal,obama-senegal_p0014_the,"The slave house on Goree Island is a frequent destination for celebrities and world leaders wanting to acknowledge the horrors of the international slave trade. The walls of the small, crowded gift shop are covered with faded images and yellowing newspaper clippings of visitors: Presidents Bill Clinton and George W. Bush, as well as former South African President Nelson Mandela and entertainers Harry Belafonte and Stevie Wonder."
class-sizes,class-sizes_p0013_project,"Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results."
affluenza-trial,affluenza-trial_p0019_scott,"Scott Brown, Couch's lead defense attorney, said the teenager could have been freed after two years if he had drawn the 20-year sentence. Instead, the judge ""fashioned a sentence that could have him under the thumb of the justice system for the next 10 years,"" he told the Star-Telegram."
warthog-plane,warthog-plane_p0029_the,"The F-35 provides 127,000 direct and indirect jobs in 47 states and Puerto Rico. Someone is sure to be upset if there's a proposal to buy fewer of the planes, Harrison said."
obama-islamic-state,obama-islamic-state_p0003_obama,"Obama announced that he was dispatching nearly 500 more U.S. troops to Iraq to assist that country's besieged security forces, bringing the total number of American forces sent there this summer to more than 1,500. He also urged Congress anew to authorize a program to train and arm Syrian rebels who are fighting both the Islamic State militants and Syrian President Bashar Assad."
ag-education,ag-education_p0005_along,"Along with school programs, membership in Future Farmers of America is up to about 580,000 — nearly double its ranks of the mid-1980s. That spike dispels the notion the national organization is merely a haven for farm kids, given that the number of U.S. farms are on a long-term downward trend, shrinking another 4 percent between 2007 and 2012, according to the latest federal figures available."
gitmo-101,gitmo-101_p0020_a,"A: The Obama administration reported to Congress in mid-2011 that it ""spends approximately $150 million per year on detention operations at Guantanamo, currently at a rate of more than $800,000 per detainee."" In addition, the Bush and Obama administrations have spent hundreds of millions of dollars to upgrade the facility. The average cost to hold a prisoner in the United States is about $30,000 per year."
syria-inspectors,syria-inspectors_p0007_during,"During their visit, Ban said, the inspectors traveled to two field hospitals and interviewed witnesses, survivors and doctors, taking statements while also collecting unspecified ""samples."""
winter-salt,winter-salt_p0012_some,"Some places are trying to mix salt with additives to keep the roads safe. They include beet syrup, potato juice, cheese brine, tomatoes and a corn-based product to improve adhesion and reduce salt usage. The products started appearing in the late 1990s. But their use has been surging amid worries about large amounts of salt contaminating groundwater supplies."
ferguson-museum,ferguson-museum_p0017_the,"""The biggest portion of this will be for research purposes,"" Gordon said. ""Our hope is to preserve this for future generations so they can get a clearer picture of what actually happened."""
foodstamps-doctors,foodstamps-doctors_p0016_how,How much would be cut from the food-stamp program ranges from $400 million a year in a Senate-passed farm bill to $4 billion a year in the House version. Congressional negotiators now are eyeing about $800 million a year in cuts.
business-apprenticeships,business-apprenticeships_p0008_the,"The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood."
chinese-teachers,chinese-teachers_p0027_the,"The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012."
pearlharbor-survivors,pearlharbor-survivors_p0003_i,"""I don't think this is going to be our last. ... We've still got time to go,"" said Louis Conter, 93, of Grass Valley, California. ""We'll be back out here no matter whether the rest of the crowd can make it or not."""
nigeria-president,nigeria-president_p0004_for,"For years, it appeared to many here that Jonathan's People's Democratic Party would rule Nigeria for the foreseeable future, thanks to a powerful patronage network and the use of electoral fraud. A sense of futility wore on Nigerians, particularly in the country's embattled north, where for years Jonathan neglected the mounting insurgency and did little to develop the country's poorest communities."
tornado-drone,tornado-drone_p0023_for,"For the first step, the FAA is preparing to set up six test sites around the nation for the research and development of unmanned aircraft. Officials have received 50 applications from 37 states, including Oklahoma. Decisions are to come in December."
china-pollutionapp,china-pollutionapp_p0003_the,"The data come from automated monitoring equipment the government has installed at about 10,000 plants around the country. Ma and his colleagues at the Institute of Public and Environmental Affairs, a Beijing-based environmental group, have made that information available to millions of Chinese on their own computers and mobile devices."
black-hole,black-hole_p0013_the,"""The jets are not always on,"" Miller-Jones told the Los Angeles Times. ""It depends a little bit on how fast the black hole is feeding."""
