"slug","triplet_id","metaphor_span","selected","annotator_id"
"obesity-graduation","obesity-graduation_p0008_the","drop-out rate","","agent"
"obesity-graduation","obesity-graduation_p0008_the","higher","","agent"
"brady-deflategate","brady-deflategate_p0003_the","delivered that message","","agent"
"brady-deflategate","brady-deflategate_p0003_the","conduct detrimental to the integrity of the NFL.","","agent"
"obama-immigration-speech","obama-immigration-speech_p0001_washington","expansive executive actions","","agent"
"obama-immigration-speech","obama-immigration-speech_p0001_washington","refocus enforcement efforts on ""felons, not families.""","","agent"
"foodstamps-doctors","foodstamps-doctors_p0011_seligman","running low on food","","agent"
"foodstamps-doctors","foodstamps-doctors_p0011_seligman","the most logical culprit","","agent"
"pga-moneyball","pga-moneyball_p0017_i","see where my game was sort of wrong","","agent"
"schoollunch-fail","schoollunch-fail_p0010_with","follow the National School Lunch Program guidelines","","agent"
"saudi-men","saudi-men_p0029_it","women's campaign","","agent"
"saudi-men","saudi-men_p0029_it","men's support","","agent"
"schoollunch-fail","schoollunch-fail_p0009_elementary","woefully short of their target","","agent"
"schoollunch-fail","schoollunch-fail_p0009_elementary","target of 9 to 10 ounces of meat per day","","agent"
"saudi-men","saudi-men_p0030_a","closed his Twitter account","","agent"
"class-sizes","class-sizes_p0011_reducing","administrative support","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","ease California's colossal thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","California's colossal thirst","","agent"
"sewage-drinkingwater","sewage-drinkingwater_p0001_los","insulate millions from the parched whims of Mother Nature","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","a large component of the school food environment","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","the school food environment","","agent"
"schoollunch-fail","schoollunch-fail_p0020_it","a contributing factor to child overweight status","","agent"
"ceres-water","ceres-water_p0008_but","the chemical fingerprint of full water molecules","","agent"
"ceres-water","ceres-water_p0008_but","clear signs of water","","agent"
"halloween-biz","halloween-biz_p0018_its","sending it out to the world","","agent"
"eggs-organic","eggs-organic_p0005_proposition","raised consumer awareness","","agent"
"eggs-organic","eggs-organic_p0005_proposition","scrambling the conventional egg industry's business","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","white-hot job growth was fueled by","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","an oil-and-gas boom","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","curbing civil litigation awards","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","lure top job creators to Texas","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","top job creators","","agent"
"perry-presannounce","perry-presannounce_p0014_texas","job creators","","agent"
"black-hole","black-hole_p0002_writing","powerful jets","","agent"
"black-hole","black-hole_p0002_writing","shooting out of","","agent"
"black-hole","black-hole_p0002_writing","a small black hole","","agent"
"black-hole","black-hole_p0002_writing","solve a scientific puzzle","","agent"
"confederate-flag","confederate-flag_p0006_he","a position on the flag","","agent"
"weapons-georgiaschools","weapons-georgiaschools_p0012_officials","a turning point for school safety","","agent"
"ncharleston-mayor","ncharleston-mayor_p0020_the","was symptomatic of bigger and deeper problems","","agent"
"ncharleston-mayor","ncharleston-mayor_p0020_the","bigger and deeper problems","","agent"
"concussion-academicproblems","concussion-academicproblems_p0008_even","had interfered with their learning","","agent"
"concussion-academicproblems","concussion-academicproblems_p0008_even","had taken a toll on academic skills","","agent"
"satellite-movies","satellite-movies_p0015_the","digital delivery of movies","","agent"
"wildfire-deaths","wildfire-deaths_p0005_the","out of control","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","fashioned a sentence","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","under the thumb of the justice system","","agent"
"warthog-plane","warthog-plane_p0029_the","provides 127,000 direct and indirect jobs","","agent"
"warthog-plane","warthog-plane_p0029_the","direct and indirect jobs","","agent"
"obama-islamic-state","obama-islamic-state_p0003_obama","besieged security forces","","agent"
"ag-education","ag-education_p0005_along","is up to about 580,000","","agent"
"ag-education","ag-education_p0005_along","That spike","","agent"
"ag-education","ag-education_p0005_along","on a long-term downward trend","","agent"
"ag-education","ag-education_p0005_along","shrinking another 4 percent","","agent"
"gitmo-101","gitmo-101_p0020_a","to upgrade the facility","","agent"
"winter-salt","winter-salt_p0012_some","their use has been surging","","agent"
"ferguson-museum","ferguson-museum_p0017_the","The biggest portion of this","","agent"
"ferguson-museum","ferguson-museum_p0017_the","preserve this for future generations","","agent"
"ferguson-museum","ferguson-museum_p0017_the","get a clearer picture of what actually happened","","agent"
"foodstamps-doctors","foodstamps-doctors_p0016_how","would be cut from the food-stamp program","","agent"
"foodstamps-doctors","foodstamps-doctors_p0016_how","cuts","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","Multiple pathways to adulthood","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","playing a greater role","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","shaping those paths","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","develop the next generation of workers","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","transition to adulthood","","agent"
"chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew","","agent"
"pearlharbor-survivors","pearlharbor-survivors_p0003_i","We've still got time to go","","agent"
"nigeria-president","nigeria-president_p0004_for","a powerful patronage network","","agent"
"nigeria-president","nigeria-president_p0004_for","A sense of futility wore on Nigerians","","agent"
