"idx","slug","triplet_id","sentence","expression","source_domain","target_domain","a1_reasoning","a2_is_inferential","a2_reasoning","a3_span","a3_substring_verified","a4_keep","a4_confidence","a4_reasoning","in_final_result"
"31","wildfire-deaths","wildfire-deaths_p0005_the","The blaze was sparked Friday by lightning, officials said, and remained out of control.","out of control","governance, restraint, or mechanical regulation","the state/behavior of the wildfire","This phrase treats the fire as something that can be controlled or regulated like an agent, machine, or process. In wildfire reporting this is common, but it may still be a figurative extension of control language to a natural event.","True","The source domain of control/restraint/regulation is still perceivable to a modern reader: the phrase evokes something no longer being governed or kept in check. Applied to a wildfire, it supports inference about system dynamics, namely that the fire's behavior exceeds human ability to contain or regulate it. This is more than emotional emphasis; it helps explain how the situation is functioning operationally—suppression mechanisms are not successfully restraining the blaze.","out of control","True","False","medium","This is a highly conventional expression, and in the context of a wildfire it functions as ordinary management/containment language rather than an active cross-domain metaphor. It indicates status, but does not clearly import a vivid source domain that helps the reader reason metaphorically about the fire.","False"
"9","homeless-students","homeless-students_p0022_i","""I don't want pity,"" he said. ""It's embarrassing to be an adult and be homeless.""","want pity","possession or acquisition of objects","receiving a social emotion/attitude from others","Pity is intangible, but it is framed as something one can want or refuse, as if it were an object or commodity that could be given.","False","""Want"" here functions as ordinary vocabulary for desire/preference, and any object-possession imagery is weak to nonexistent for a modern reader. The phrase does not help the reader infer cause, structure, direction, or system dynamics; it simply states that he does not desire others' pity. So this is not an inferential metaphor.","","","","","","False"
"9","homeless-students","homeless-students_p0022_i","""I don't want pity,"" he said. ""It's embarrassing to be an adult and be homeless.""","be homeless","physical dwelling/place of residence","a person's broader social and economic condition","Even when literally about lacking housing, the expression can package a complex life condition in terms of the absence of a concrete place, extending from physical shelter to social status and belonging.","False","""Homeless"" is primarily literal here: it directly describes lacking a home/place to live. Although homelessness can imply a broader social and economic condition, the phrase itself does not use a clearly active cross-domain mapping to explain how that condition works. It does not contribute causal, structural, directional, or system-level reasoning, so it does not qualify as an inferential metaphor.","","","","","","False"
"47","chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012.","take the AP Chinese exam","physical grasping or carrying an object","participating in or sitting for an exam","The verb ""take"" literally refers to physically seizing or carrying something, but here it is used for the abstract act of undergoing an परीक्षा/assessment.","False","Although ""take"" historically comes from physical grasping/carrying, in ""take an exam"" this is largely dead vocabulary for modern readers. The source-domain imagery is not salient, and it does not help the reader infer cause, structure, direction, or system dynamics; it simply denotes participation in the exam.","","","","","","False"
"47","chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012.","grew from 3,261 in 2007 to 9,357 in 2012","biological growth of living organisms or plants","increase in a numerical quantity","The number of students does not literally grow like a living thing; ""grew"" maps organic growth onto a change in enrollment/test-taking figures.","True","""Grew"" still evokes biological growth strongly enough for modern readers to perceive a cross-domain mapping from living organisms to numerical quantities. That mapping helps the reader reason about direction and temporal development: the number increased over time rather than merely existing at two values. While conventional, it is still active enough to support inference about change in the system.","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012","True","True","low","""Grew"" maps biological growth onto a numerical quantity. This is quite conventional, but it still conveys directional change over time rather than mere emotion or idiom, so I would keep it at this recall-oriented stage.","True"
"47","chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012.","grew","biological development and physical enlargement","quantitative increase","Used alone, ""grew"" still applies language of living organisms becoming larger to an abstract statistic.","True","Used for a numerical quantity, ""grew"" draws on the biological-growth domain in a way modern readers can still recognize. It contributes inferentially by framing the student count as undergoing upward development over time, which helps convey direction and progression of change rather than only emphasis or evaluation.","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012","True","True","low","""Grew"" maps biological growth onto a numerical quantity. This is quite conventional, but it still conveys directional change over time rather than mere emotion or idiom, so I would keep it at this recall-oriented stage.","True"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","vocal","voice/sound production","public political expression or outspokenness","""Vocal"" literally refers to using the voice, but here it likely means outspoken, loudly expressive, or publicly forceful rather than simply producing sound.","False","The source domain of voice/sound is still somewhat perceivable, since 'vocal' suggests speaking out audibly. However, here it mainly characterizes the protesters as outspoken; it does not help the reader infer cause, structure, direction, or system-level relations. It describes style of expression rather than explaining how the social situation works.","","","","","","False"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","small in number","physical size","quantity or group size","""Small"" literally describes physical dimensions, but here it is applied to the number of protesters, using size language for quantity.","False","This is a very conventional size-to-quantity usage. Even if the size imagery is faintly recoverable, it functions mostly as routine vocabulary for quantity. It does not contribute to reasoning about causal mechanisms, structure, or dynamics; it simply states that the group is limited in size.","","","","","","False"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","symptomatic of","medicine/illness and diagnosis","social or institutional problems","""Symptomatic"" literally refers to symptoms indicating a disease; here the shooting is framed as an indicator of underlying problems in policing.","True","The medical/diagnostic source domain is clearly active and perceivable to a modern reader. Calling the shooting 'symptomatic of' larger policing problems invites the reader to reason that the shooting is not an isolated event but a visible sign of an underlying institutional condition. This directly supports inference about structure and causation: surface events reveal deeper systemic problems.","the shooting was symptomatic of bigger and deeper problems in local policing","True","True","high","""Symptomatic"" actively invokes the medical domain and frames the shooting as a surface sign of an underlying systemic condition. This supports reasoning about cause and structure in policing, not just emphasis.","True"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","bigger","physical size/scale","importance, seriousness, or magnitude of problems","""Bigger"" literally refers to larger physical size, but here it describes the scale or significance of abstract problems.","False","Although the physical-size source domain is still weakly available, 'bigger problems' is highly conventional and mainly signals greater magnitude or seriousness. It does not by itself explain how the problems are structured or caused; it mostly adds emphasis about scale. So it is not strongly inferential.","","","","","","False"
